,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target
59,30,0,59496,0,13,0,0,0,0,0,2407,0,40,0,0
60,32,0,293936,0,4,0,0,0,0,0,0,0,40,0,0
61,48,0,149640,0,9,0,0,0,0,0,0,0,40,0,0
62,42,0,116632,0,16,0,0,0,0,0,0,0,45,0,1
63,29,0,105598,0,10,0,0,0,0,0,0,0,58,0,0
64,36,0,155537,0,9,0,0,0,0,0,0,0,40,0,0
65,28,0,183175,0,10,0,0,0,0,1,0,0,40,0,0
66,53,0,169846,0,9,0,0,0,0,1,0,0,40,0,1
67,49,0,191681,0,10,0,0,0,0,0,0,0,50,0,1
68,25,0,200681,0,10,0,0,0,0,0,0,0,40,0,0
69,19,0,101509,0,10,0,0,0,0,0,0,0,32,0,0
70,31,0,309974,0,13,0,0,0,0,1,0,0,40,0,0
71,29,0,162298,0,13,0,0,0,0,0,0,0,70,0,1
72,23,0,211678,0,10,0,0,0,0,0,0,0,40,0,0
73,79,0,124744,0,10,0,0,0,0,0,0,0,20,0,0
74,27,0,213921,0,9,0,0,0,0,0,0,0,40,0,0
75,40,0,32214,0,12,0,0,0,0,0,0,0,40,0,0
76,67,0,212759,0,6,0,0,0,0,0,0,0,2,0,0
77,18,0,309634,0,7,0,0,0,0,1,0,0,22,0,0
78,31,0,125927,0,4,0,0,0,0,0,0,0,40,0,0
79,18,0,446839,0,9,0,0,0,0,0,0,0,30,0,0
80,52,0,276515,0,13,0,0,0,0,0,0,0,40,0,0
81,46,0,51618,0,9,0,0,0,0,1,0,0,40,0,0
82,59,0,159937,0,9,0,0,0,0,0,0,0,48,0,0
83,44,0,343591,0,9,0,0,0,0,1,14344,0,40,0,1
84,53,0,346253,0,9,0,0,0,0,1,0,0,35,0,0
85,49,0,268234,0,9,0,0,0,0,0,0,0,40,0,1
86,33,0,202051,0,14,0,0,0,0,0,0,0,50,0,0
87,30,0,54334,0,5,0,0,0,0,0,0,0,40,0,0
88,43,0,410867,0,16,0,0,0,0,1,0,0,50,0,1
89,57,0,249977,0,11,0,0,0,0,0,0,0,40,0,0
90,37,0,286730,0,10,0,0,0,0,1,0,0,40,0,0
91,28,0,212563,0,10,0,0,0,0,1,0,0,25,0,0
92,30,0,117747,0,9,0,0,0,0,1,0,1573,35,0,0
93,34,0,226296,0,13,0,0,0,0,0,0,0,40,0,1
94,29,0,115585,0,10,0,0,0,0,0,0,0,50,0,0
95,48,0,191277,0,16,0,0,0,0,0,0,1902,60,0,1
96,37,0,202683,0,10,0,0,0,0,0,0,0,48,0,1
97,48,0,171095,0,12,0,0,0,0,1,0,0,40,0,0
98,32,0,249409,0,9,0,0,0,0,0,0,0,40,0,0
99,76,0,124191,0,14,0,0,0,0,0,0,0,40,0,1
100,44,0,198282,0,13,0,0,0,0,0,15024,0,60,0,1
101,47,0,149116,0,14,0,0,0,0,1,0,0,50,0,0
102,20,0,188300,0,10,0,0,0,0,1,0,0,40,0,0
103,29,0,103432,0,9,0,0,0,0,0,0,0,40,0,0
104,32,0,317660,0,9,0,0,0,0,0,7688,0,40,0,1
105,17,0,304873,0,6,0,0,0,0,1,34095,0,32,0,0
106,30,0,194901,0,7,0,0,0,0,0,0,0,40,0,0
107,31,0,189265,0,9,0,0,0,0,1,0,0,40,0,0
108,42,0,124692,0,9,0,0,0,0,0,0,0,40,0,0
109,24,0,432376,0,13,0,0,0,0,0,0,0,40,0,0
110,38,0,65324,0,15,0,0,0,0,0,0,0,40,0,1
111,56,0,335605,0,9,0,0,0,0,0,0,1887,50,0,1
112,28,0,377869,0,10,0,0,0,0,1,4064,0,25,0,0
113,36,0,102864,0,9,0,0,0,0,1,0,0,40,0,0
114,53,0,95647,0,5,0,0,0,0,0,0,0,50,0,0
115,56,0,303090,0,10,0,0,0,0,0,0,0,50,0,0
116,49,0,197371,0,11,0,0,0,0,0,0,0,40,0,1
117,55,0,247552,0,10,0,0,0,0,0,0,0,56,0,0
118,22,0,102632,0,9,0,0,0,0,0,0,0,41,0,0
119,21,0,199915,0,10,0,0,0,0,1,0,0,40,0,0
120,40,0,118853,0,13,0,0,0,0,0,0,0,60,0,0
121,30,0,77143,0,13,0,0,0,0,0,0,0,40,0,0
122,29,0,267989,0,13,0,0,0,0,0,0,0,50,0,1
123,19,0,301606,0,10,0,0,0,0,0,0,0,35,0,0
124,47,0,287828,0,13,0,0,0,0,1,0,0,40,0,1
125,20,0,111697,0,10,0,0,0,0,1,0,1719,28,0,0
126,31,0,114937,0,12,0,0,0,0,0,0,0,40,0,1
127,35,0,129305,0,9,0,0,0,0,0,0,0,40,0,0
128,39,0,365739,0,10,0,0,0,0,0,0,0,40,0,0
129,28,0,69621,0,12,0,0,0,0,1,0,0,60,0,0
130,24,0,43323,0,9,0,0,0,0,1,0,1762,40,0,0
131,38,0,120985,0,9,0,0,0,0,0,4386,0,35,0,0
132,37,0,254202,0,13,0,0,0,0,0,0,0,50,0,0
133,46,0,146195,0,12,0,0,0,0,1,0,0,36,0,0
134,38,0,125933,0,14,0,0,0,0,0,0,0,40,0,1
135,43,0,56920,0,9,0,0,0,0,0,0,0,60,0,0
136,27,0,163127,0,11,0,0,0,0,1,0,0,35,0,0
137,20,0,34310,0,10,0,0,0,0,0,0,0,20,0,0
138,49,0,81973,0,10,0,0,0,0,0,0,0,40,0,1
139,61,0,66614,0,9,0,0,0,0,0,0,0,40,0,0
140,27,0,232782,0,10,0,0,0,0,1,0,0,40,0,0
141,19,0,316868,0,10,0,0,0,0,0,0,0,30,0,0
142,45,0,196584,0,11,0,0,0,0,1,0,1564,40,0,1
143,70,0,105376,0,10,0,0,0,0,0,0,0,40,0,0
144,31,0,185814,0,9,0,0,0,0,1,0,0,30,0,0
145,22,0,175374,0,10,0,0,0,0,0,0,0,24,0,0
146,36,0,108293,0,9,0,0,0,0,1,0,0,24,0,0
147,64,0,181232,0,7,0,0,0,0,0,0,2179,40,0,0
148,43,0,174662,0,10,0,0,0,0,1,0,0,40,0,0
149,47,0,186009,0,10,0,0,0,0,1,0,0,38,0,0
150,34,0,198183,0,9,0,0,0,0,1,0,0,40,0,0
151,33,0,163003,0,13,0,0,0,0,1,0,0,40,0,0
152,21,0,296158,0,9,0,0,0,0,0,0,0,35,0,0
153,52,0,252903,0,9,0,0,0,0,0,0,0,45,0,1
154,48,0,187715,0,9,0,0,0,0,0,0,0,46,0,0
155,23,0,214542,0,13,0,0,0,0,0,0,0,40,0,0
156,71,0,494223,0,10,0,0,0,0,0,0,1816,2,0,0
157,29,0,191535,0,9,0,0,0,0,0,0,0,60,0,0
158,42,0,228456,0,13,0,0,0,0,0,0,0,50,0,0
159,68,0,38317,0,2,0,0,0,0,1,0,0,20,0,0
160,25,0,252752,0,9,0,0,0,0,1,0,0,40,0,0
161,44,0,78374,0,14,0,0,0,0,1,0,0,40,0,0
162,28,0,88419,0,9,0,0,0,0,1,0,0,40,0,0
163,45,0,201080,0,14,0,0,0,0,0,0,0,40,0,1
164,36,0,207157,0,10,0,0,0,0,1,0,0,40,0,0
165,39,0,235485,0,12,0,0,0,0,0,0,0,42,0,0
166,46,0,102628,0,14,0,0,0,0,0,0,0,40,0,0
167,18,0,25828,0,7,0,0,0,0,0,0,0,16,0,0
168,66,0,54826,0,11,0,0,0,0,1,0,0,20,0,0
169,27,0,124953,0,9,0,0,0,0,0,0,1980,40,0,0
170,28,0,175325,0,9,0,0,0,0,0,0,0,40,0,0
171,51,0,96062,0,10,0,0,0,0,0,0,1977,40,0,1
172,27,0,428030,0,13,0,0,0,0,0,0,0,50,0,0
173,28,0,149624,0,13,0,0,0,0,0,0,0,40,0,1
174,27,0,253814,0,9,0,0,0,0,1,0,0,25,0,0
175,21,0,312956,0,9,0,0,0,0,0,0,0,40,0,0
176,34,0,483777,0,9,0,0,0,0,0,0,0,40,0,0
177,18,0,183930,0,9,0,0,0,0,0,0,0,12,0,0
178,33,0,37274,0,13,0,0,0,0,0,0,0,65,0,0
179,44,0,181344,0,10,0,0,0,0,0,0,0,38,0,1
180,43,0,114580,0,10,0,0,0,0,1,0,0,40,0,0
181,30,0,633742,0,10,0,0,0,0,0,0,0,45,0,0
182,40,0,286370,0,4,0,0,0,0,0,0,0,40,0,1
183,37,0,29054,0,10,0,0,0,0,0,0,0,42,0,1
184,34,0,304030,0,9,0,0,0,0,0,0,0,40,0,0
185,41,0,143129,0,13,0,0,0,0,1,0,0,40,0,0
186,53,0,135105,0,13,0,0,0,0,1,0,0,50,0,0
187,31,0,99928,0,14,0,0,0,0,1,0,0,50,0,0
188,58,0,109567,0,16,0,0,0,0,0,0,0,1,0,1
189,38,0,155222,0,10,0,0,0,0,1,0,0,28,0,0
190,24,0,159567,0,10,0,0,0,0,0,0,0,40,0,0
191,41,0,523910,0,13,0,0,0,0,0,0,0,40,0,0
192,47,0,120939,0,10,0,0,0,0,0,0,0,45,0,0
193,41,0,130760,0,13,0,0,0,0,0,0,0,24,0,0
194,23,0,197387,0,3,0,0,0,0,0,0,0,40,0,0
195,36,0,99374,0,10,0,0,0,0,0,0,0,40,0,0
196,40,0,56795,0,14,0,0,0,0,1,14084,0,55,0,1
197,35,0,138992,0,14,0,0,0,0,0,7298,0,40,0,1
198,24,0,32921,0,9,0,0,0,0,0,0,0,40,0,0
199,26,0,397317,0,14,0,0,0,0,1,0,1876,40,0,0
200,19,0,170653,0,9,0,0,0,0,0,0,0,40,0,0
201,51,0,259323,0,13,0,0,0,0,0,0,0,50,0,1
202,42,0,254817,0,10,0,0,0,0,1,0,1340,40,0,0
203,37,0,48211,0,9,0,0,0,0,1,0,0,35,0,0
204,18,0,140164,0,7,0,0,0,0,1,0,0,40,0,0
205,36,0,128757,0,13,0,0,0,0,0,7298,0,36,0,1
206,35,0,36270,0,9,0,0,0,0,0,0,0,60,0,0
207,58,0,210563,0,9,0,0,0,0,1,15024,0,35,0,1
208,17,0,65368,0,7,0,0,0,0,1,0,0,12,0,0
209,44,0,160943,0,9,0,0,0,0,0,0,0,40,0,0
210,37,0,208358,0,9,0,0,0,0,0,0,0,40,0,1
211,35,0,153790,0,10,0,0,0,0,1,0,0,40,0,0
212,60,0,85815,0,9,0,0,0,0,0,0,0,40,0,0
213,54,0,125417,0,4,0,0,0,0,0,0,0,40,0,1
214,37,0,635913,0,13,0,0,0,0,0,0,0,60,0,1
215,50,0,313321,0,12,0,0,0,0,1,0,0,40,0,0
216,38,0,182609,0,13,0,0,0,0,0,0,0,50,0,0
217,45,0,109434,0,13,0,0,0,0,0,0,0,55,0,0
218,25,0,255004,0,6,0,0,0,0,0,0,0,40,0,0
219,31,0,197860,0,10,0,0,0,0,0,0,0,40,0,0
220,64,0,187656,0,2,0,0,0,0,0,0,0,40,0,0
221,90,0,51744,0,9,0,0,0,0,0,0,2206,40,0,0
222,54,0,176681,0,9,0,0,0,0,0,0,0,20,0,0
223,53,0,140359,0,1,0,0,0,0,1,0,0,35,0,0
224,18,0,243313,0,9,0,0,0,0,1,0,0,40,0,0
225,60,0,24215,0,6,0,0,0,0,1,0,0,10,0,0
226,66,0,167687,0,9,0,0,0,0,0,1409,0,50,0,0
227,75,0,314209,0,11,0,0,0,0,1,0,0,20,0,0
228,65,0,176796,0,9,0,0,0,0,1,0,0,40,0,0
229,35,0,538583,0,7,0,0,0,0,0,3674,0,40,0,0
230,41,0,130408,0,9,0,0,0,0,1,0,0,38,0,0
231,25,0,159732,0,10,0,0,0,0,0,0,0,42,0,0
232,33,0,110978,0,10,0,0,0,0,1,0,0,40,0,0
233,28,0,76714,0,15,0,0,0,0,0,0,0,55,0,1
234,59,0,268700,0,9,0,0,0,0,0,0,0,40,0,0
235,40,0,170525,0,10,0,0,0,0,1,0,0,38,0,0
236,41,0,180138,0,13,0,0,0,0,0,0,0,50,0,1
237,38,0,115076,0,14,0,0,0,0,0,0,0,70,0,1
238,23,0,115458,0,9,0,0,0,0,0,0,0,40,0,0
239,40,0,347890,0,13,0,0,0,0,0,0,0,40,0,1
240,41,0,196001,0,9,0,0,0,0,1,0,0,20,0,0
241,24,0,273905,0,12,0,0,0,0,0,0,0,50,0,0
242,20,0,119156,0,10,0,0,0,0,0,0,0,20,0,0
243,38,0,179488,0,10,0,0,0,0,0,0,1741,40,0,0
244,56,0,203580,0,9,0,0,0,0,0,0,0,35,0,0
245,58,0,236596,0,9,0,0,0,0,0,0,0,45,0,1
246,32,0,183916,0,9,0,0,0,0,1,0,0,34,0,0
247,40,0,207578,0,12,0,0,0,0,0,0,1977,60,0,1
248,45,0,153141,0,9,0,0,0,0,0,0,0,40,0,0
249,41,0,112763,0,15,0,0,0,0,1,0,0,40,0,1
250,42,0,390781,0,13,0,0,0,0,1,0,0,40,0,0
251,59,0,171328,0,6,0,0,0,0,1,0,0,30,0,0
252,19,0,27382,0,10,0,0,0,0,0,0,0,40,0,0
253,58,0,259014,0,10,0,0,0,0,0,0,0,20,0,0
254,42,0,303044,0,9,0,0,0,0,0,0,0,40,0,1
255,20,0,117789,0,9,0,0,0,0,1,0,0,40,0,0
256,32,0,172579,0,9,0,0,0,0,1,0,0,30,0,0
257,45,0,187666,0,11,0,0,0,0,1,0,0,45,0,0
258,50,0,204518,0,4,0,0,0,0,0,0,0,40,0,0
259,36,0,150042,0,13,0,0,0,0,1,0,0,40,0,0
260,45,0,98092,0,9,0,0,0,0,0,0,0,60,0,0
261,17,0,245918,0,7,0,0,0,0,0,0,0,12,0,0
262,59,0,146013,0,10,0,0,0,0,0,4064,0,40,0,0
263,26,0,378322,0,7,0,0,0,0,0,0,0,40,0,0
264,37,0,257295,0,10,0,0,0,0,0,0,0,75,0,1
265,19,0,218956,0,10,0,0,0,0,0,0,0,24,0,0
266,64,0,21174,0,9,0,0,0,0,0,0,0,40,0,1
267,33,0,185480,0,13,0,0,0,0,1,0,0,45,0,0
268,33,0,222205,0,9,0,0,0,0,1,0,0,40,0,1
269,61,0,69867,0,9,0,0,0,0,0,0,0,40,0,1
270,17,0,191260,0,5,0,0,0,0,0,1055,0,24,0,0
271,50,0,30653,0,14,0,0,0,0,0,2407,0,98,0,0
272,27,0,209109,0,14,0,0,0,0,0,0,0,35,0,0
273,30,0,70377,0,9,0,0,0,0,1,0,0,40,0,0
274,43,0,477983,0,9,0,0,0,0,0,0,0,40,0,0
275,44,0,170924,0,10,0,0,0,0,0,7298,0,40,0,1
276,35,0,190174,0,10,0,0,0,0,1,0,0,40,0,0
277,25,0,193787,0,10,0,0,0,0,1,0,0,40,0,0
278,24,0,279472,0,10,0,0,0,0,1,7298,0,48,0,1
279,22,0,34918,0,13,0,0,0,0,1,0,0,15,0,0
280,42,0,97688,0,10,0,0,0,0,0,5178,0,40,0,1
281,34,0,175413,0,12,0,0,0,0,1,0,0,45,0,0
282,60,0,173960,0,13,0,0,0,0,1,0,0,42,0,0
283,21,0,205759,0,9,0,0,0,0,0,0,0,40,0,0
284,57,0,425161,0,14,0,0,0,0,0,15024,0,40,0,1
285,41,0,220531,0,15,0,0,0,0,0,0,0,60,0,1
286,50,0,176609,0,10,0,0,0,0,0,0,0,45,0,0
287,25,0,371987,0,13,0,0,0,0,1,0,0,40,0,0
288,50,0,193884,0,4,0,0,0,0,0,0,0,40,0,0
289,36,0,200352,0,13,0,0,0,0,0,0,0,45,0,0
290,31,0,127595,0,9,0,0,0,0,1,0,0,40,0,0
291,29,0,220419,0,13,0,0,0,0,0,0,0,56,0,0
292,21,0,231931,0,10,0,0,0,0,0,0,0,45,0,0
293,27,0,248402,0,13,0,0,0,0,1,0,0,40,0,0
294,65,0,111095,0,9,0,0,0,0,0,0,0,16,0,0
295,37,0,57424,0,13,0,0,0,0,1,0,0,60,0,0
296,39,0,157443,0,14,0,0,0,0,1,3464,0,40,0,0
297,24,0,278130,0,9,0,0,0,0,0,0,0,40,0,0
298,38,0,169469,0,9,0,0,0,0,0,0,0,80,0,0
299,48,0,146268,0,13,0,0,0,0,0,7688,0,40,0,1
300,21,0,153718,0,10,0,0,0,0,1,0,0,25,0,0
301,31,0,217460,0,9,0,0,0,0,0,0,0,45,0,1
302,55,0,238638,0,9,0,0,0,0,0,4386,0,40,0,1
303,24,0,303296,0,10,0,0,0,0,1,0,0,40,0,0
304,43,0,173321,0,9,0,0,0,0,1,0,0,40,0,0
305,26,0,193945,0,12,0,0,0,0,0,0,0,45,0,0
306,46,0,83082,0,12,0,0,0,0,1,0,0,33,0,0
307,35,0,193815,0,12,0,0,0,0,0,0,0,40,0,1
308,41,0,34987,0,10,0,0,0,0,0,0,0,54,0,1
309,26,0,59306,0,13,0,0,0,0,0,0,0,40,0,0
310,34,0,142897,0,14,0,0,0,0,0,7298,0,35,0,1
311,19,0,860348,0,10,0,0,0,0,1,0,0,25,0,0
312,36,0,205607,0,13,0,0,0,0,1,0,0,40,0,1
313,22,0,199698,0,10,0,0,0,0,0,0,0,15,0,0
314,24,0,191954,0,10,0,0,0,0,0,0,0,40,0,0
315,77,0,138714,0,10,0,0,0,0,0,0,0,40,0,0
316,22,0,399087,0,3,0,0,0,0,1,0,0,40,0,0
317,29,0,423158,0,10,0,0,0,0,1,0,0,40,0,0
318,62,0,159841,0,9,0,0,0,0,1,0,0,24,0,0
319,39,0,174308,0,9,0,0,0,0,0,0,0,40,0,0
320,43,0,50356,0,10,0,0,0,0,0,0,1485,50,0,0
321,35,0,186110,0,9,0,0,0,0,0,0,0,45,0,0
322,29,0,200381,0,7,0,0,0,0,1,0,0,40,0,0
323,76,0,174309,0,14,0,0,0,0,0,0,0,10,0,0
324,63,0,78383,0,9,0,0,0,0,0,0,0,45,0,0
325,23,0,211601,0,11,0,0,0,0,1,0,0,15,0,0
326,43,0,187728,0,10,0,0,0,0,1,0,1887,50,0,1
327,58,0,321171,0,9,0,0,0,0,0,0,0,40,0,0
328,66,0,127921,0,9,0,0,0,0,0,2050,0,55,0,0
329,41,0,206565,0,10,0,0,0,0,0,0,0,45,0,0
330,26,0,224563,0,13,0,0,0,0,0,0,0,40,0,0
331,47,0,178686,0,11,0,0,0,0,0,0,0,40,0,0
332,55,0,98545,0,6,0,0,0,0,0,0,0,40,0,0
333,53,0,242606,0,9,0,0,0,0,0,0,0,40,0,0
334,17,0,270942,0,3,0,0,0,0,0,0,0,48,0,0
335,30,0,94235,0,9,0,0,0,0,0,0,0,40,0,0
336,49,0,71195,0,14,0,0,0,0,0,0,0,60,0,0
337,19,0,104112,0,9,0,0,0,0,0,0,0,30,0,0
338,45,0,261192,0,9,0,0,0,0,0,0,0,40,0,0
339,26,0,94936,0,12,0,0,0,0,0,0,0,40,0,0
340,38,0,296478,0,11,0,0,0,0,0,7298,0,40,0,1
341,36,0,119272,0,9,0,0,0,0,0,7298,0,40,0,1
342,33,0,85043,0,9,0,0,0,0,0,0,0,20,0,0
343,22,0,293364,0,10,0,0,0,0,1,0,0,40,0,0
344,43,0,241895,0,13,0,0,0,0,0,0,0,42,0,0
345,67,0,36135,0,7,0,0,0,0,0,0,0,8,0,0
346,30,0,151989,0,11,0,0,0,0,1,0,0,40,0,0
347,56,0,101128,0,12,0,0,0,0,0,0,0,25,0,0
348,31,0,156464,0,13,0,0,0,0,0,0,0,25,0,0
349,33,0,117963,0,13,0,0,0,0,0,0,0,40,0,1
350,26,0,192262,0,9,0,0,0,0,0,0,0,40,0,0
351,33,0,111363,0,13,0,0,0,0,0,0,0,40,0,1
352,46,0,329752,0,7,0,0,0,0,0,0,0,30,0,0
353,59,0,372020,0,13,0,0,0,0,0,0,0,40,0,1
354,38,0,95432,0,9,0,0,0,0,0,0,0,40,0,1
355,65,0,161400,0,7,0,0,0,0,0,0,0,40,0,0
356,40,0,96129,0,11,0,0,0,0,0,0,0,40,0,1
357,42,0,111949,0,9,0,0,0,0,1,0,0,35,0,0
358,26,0,117125,0,5,0,0,0,0,0,0,0,40,0,0
359,36,0,348022,0,6,0,0,0,0,1,0,0,24,0,0
360,62,0,270092,0,14,0,0,0,0,0,0,0,40,0,1
361,43,0,180609,0,13,0,0,0,0,0,0,0,45,0,0
362,43,0,174575,0,13,0,0,0,0,0,0,1564,45,0,1
363,22,0,410439,0,9,0,0,0,0,0,0,0,55,0,0
364,28,0,92262,0,9,0,0,0,0,0,0,0,40,0,0
365,56,0,183081,0,10,0,0,0,0,0,0,0,45,0,0
366,22,0,362589,0,12,0,0,0,0,1,0,0,15,0,0
367,57,0,212448,0,13,0,0,0,0,1,0,0,45,0,1
368,39,0,481060,0,9,0,0,0,0,1,0,0,40,0,0
369,26,0,185885,0,10,0,0,0,0,1,0,0,15,0,0
370,17,0,89821,0,7,0,0,0,0,0,0,0,10,0,0
371,40,0,184018,0,11,0,0,0,0,0,0,0,38,0,1
372,45,0,256649,0,9,0,0,0,0,0,0,0,40,0,0
373,44,0,160323,0,9,0,0,0,0,0,0,0,40,0,0
374,20,0,350845,0,10,0,0,0,0,1,0,0,10,0,0
375,33,0,267404,0,9,0,0,0,0,1,0,0,40,0,0
376,23,0,35633,0,10,0,0,0,0,0,0,0,40,0,0
377,46,0,80914,0,14,0,0,0,0,0,0,0,30,0,0
378,38,0,172927,0,9,0,0,0,0,0,0,0,50,0,0
379,54,0,174319,0,9,0,0,0,0,0,0,0,40,0,0
380,46,0,214955,0,3,0,0,0,0,1,0,2339,45,0,0
381,25,0,344991,0,10,0,0,0,0,0,0,0,40,0,0
382,46,0,108699,0,10,0,0,0,0,1,0,0,40,0,0
383,36,0,117312,0,10,0,0,0,0,1,0,0,40,0,0
384,23,0,396099,0,9,0,0,0,0,1,0,0,25,0,0
385,29,0,134152,0,9,0,0,0,0,0,0,0,40,0,0
386,44,0,162028,0,10,0,0,0,0,1,0,2415,6,0,1
387,19,0,25429,0,10,0,0,0,0,1,0,0,16,0,0
388,19,0,232392,0,9,0,0,0,0,1,0,0,40,0,0
389,35,0,220098,0,9,0,0,0,0,1,0,0,40,0,1
390,27,0,301302,0,13,0,0,0,0,0,0,0,50,0,0
391,46,0,277946,0,12,0,0,0,0,0,0,0,40,0,0
392,34,0,98101,0,13,0,0,0,0,0,7688,0,45,0,1
393,34,0,196164,0,9,0,0,0,0,1,0,0,35,0,0
394,44,0,115562,0,10,0,0,0,0,0,0,0,40,0,0
395,45,0,96975,0,10,0,0,0,0,1,0,0,40,0,0
396,20,0,137300,0,9,0,0,0,0,1,0,0,35,0,0
397,25,0,86872,0,13,0,0,0,0,0,0,0,55,0,1
398,52,0,132178,0,13,0,0,0,0,0,0,0,50,0,1
399,20,0,416103,0,10,0,0,0,0,0,0,0,40,0,0
400,28,0,108574,0,10,0,0,0,0,1,0,0,40,0,0
401,50,0,288353,0,13,0,0,0,0,0,0,0,40,0,1
402,34,0,227689,0,11,0,0,0,0,1,0,0,64,0,0
403,28,0,166481,0,4,0,0,0,0,0,0,2179,40,0,0
404,41,0,445382,0,14,0,0,0,0,0,0,1977,65,0,1
405,28,0,110145,0,9,0,0,0,0,0,0,0,40,0,0
406,46,0,317253,0,9,0,0,0,0,0,0,0,25,0,0
407,28,0,123147,0,10,0,0,0,0,1,0,1887,40,0,1
408,32,0,364657,0,10,0,0,0,0,0,0,0,50,0,0
409,41,0,42346,0,10,0,0,0,0,1,0,0,24,0,0
410,24,0,241951,0,9,0,0,0,0,1,0,0,40,0,0
411,33,0,118500,0,10,0,0,0,0,1,0,0,40,0,0
412,46,0,188386,0,16,0,0,0,0,0,15024,0,60,0,1
413,31,0,1033222,0,10,0,0,0,0,0,0,0,40,0,0
414,35,0,92440,0,8,0,0,0,0,0,0,0,50,0,1
415,52,0,190762,0,2,0,0,0,0,0,0,0,40,0,0
416,30,0,426017,0,7,0,0,0,0,1,0,0,19,0,0
417,34,0,243867,0,7,0,0,0,0,0,0,0,40,0,0
